ID,businessname,legalowner,LicenseFK
6681,The Coffee Shop,LORRAINE CONNOLLY,6681
6682,The Colonial Theatre,KOMOLA JOHN TRST,6682
6683,The Copley Square Hotel,FORTY 7 HUNTINGTON AV LLC,6683
6684,The Corner Market,GINA MCNULTY & CHRISTINE MCMAHON,6684
6685,The Corner Mini Market,  ,6685
6686,The Corner Store at N M A,,6686
6687,The Corner Store of NMA,  ,6687
6688,The Crossing,CURTIN ELIZABETH ETAL,6688
6689,The Cube,BETTANO TERRI,6689
6690,The Cupcakory,,6690
6691,The Cupcakory @ Gourmet Caterers,WIGGINS ROBERTA,6691
6692,The Currach Bistro & Pizza,ADAMS VILLAGE CONDO TR,6692
6693,The Daily Squeeze,,6693
6694,THE DECK,ARCH ST TOWER LLC,6694
6695,The Deck @ Digitas Co.,ARCH ST TOWER LLC,6695
6696,The Deck Cafe,ARCH ST TOWER LLC,6696
6697,The Dining Car,,6697
6698,THE DISH,DIDIUK,6698
6699,The Elephant & Castle,,6699
6700,The Estate,BIG EASY BAR,6700
6701,The Fairmont Store,DALEY,6701
6702,THE FAMILY KITCHEN,BUTTIGLIERI MICHAEL,6702
6703,THE FAMILY MARKET,MOY WING-AR TS,6703
6704,THE FLAT OF THE HILL,,6704
6705,The Food Project Farmer's Mkt.,,6705
6706,THE FOUNDATION LOUNGE,THE TRUSTEES OF BOSTON/LU,6706
6707,The Fresh Stop,NINE-60 MASSACHUSETTS AV LP,6707
6708,THE FRIENDLY COMMUNITY MARKET,TENNYSON,6708
6709,The Froyo Truck,,6709
6710,The Froyo Truck I I,,6710
6711,The Fudge Bar (Gate 29),,6711
6712,The Gardner Musuem Cafe,ISABELLA STEWART MUSEUM/C OFFEE,6712
6713,The General Store,MGH NUTRITION & FOOD SER VICE,6713
6714,The General Store @ Spaulding,,6714
6715,The General Store @ Yawkey MGH,,6715
6716,The Gift Shop@Brigham & Women's Hospital,AU BON PAIN CO  INC. #508 (LAURA),6716
6717,The Good News Stand,,6717
6718,The Goods JP,MEEHAN JOHN,6718
6719,THE GRAND CANAL,,6719
6720,THE GREATEST BAR,ERROL APOSTOLOPOULOS  MAN AGER,6720
6721,THE GROVE,,6721
6722,The Grove (Main),,6722
6723,The Grove (Retail),,6723
6724,The Hen House,NASSIOS CHRIS A TS,6724
6725,The Heritage Truck Catering Co.,,6725
6726,THE HOME DEPOT No.  2665,,6726
6727,The Home Depot No. 2679,HD DEVELOPMENT OF MARYLAND I,6727
6728,The Hot Spot,,6728
6729,The Hyde,STANTON MARY J TS,6729
6730,THE IRISH COTTAGE,CANZANO JOAN,6730
6731,THE IRON LADEL RESTAURANT,EDWARDS NORMA,6731
6732,THE JEWEL OF NEWBURY,SAYEH MOULDI,6732
6733,THE JOHN JEFFRIES HOUSE,CIRCLE COMPANY,6733
6734,The Juice Bar,SIK FAN CHOY WONG,6734
6735,The King Restaurant,MALLIOS ANASTASIOS,6735
6736,The Kitchen,POCKEL JEANNE C TRSTS,6736
6737,THE KITCHEN (MBTA),LOIS DINUNZIO,6737
6738,The Langham Boston (Gift Shop),CHRISTINE GILPIN  CONTROL LER,6738
6739,The Little Kitchen,YEE KENNETH M,6739
6740,The Littlest Bar,PABIAN JAY M TS,6740
6741,THE LIVING ROOM,,6741
6742,THE LOBBY SHOP,THIRTY-1 MILK STREET,6742
6743,The Maiden,,6743
6744,The Market,JON CRONIN JPC VENTURE CORP.,6744
6745,The Melting Pot of Boston,,6745
6746,THE MONKEY BAR,LESLEY,6746
6747,The Munchie Fairy,,6747
6748,The Newsstand@ 101 Arch St.,  ,6748
6749,The North Star,  ,6749
6750,The One Sushi Inc.,,6750
6751,THE ORIGINAL KELLY'S LANDING,THE ORIGINAL KELLEY'S LAN,6751
6752,The Parlour,,6752
6753,The Pasta Pot,,6753
6754,The Pink Samurai,,6754
6755,THE PLACE,BROAD STREET RESTAURANT G ROUP  LLC,6755
6756,The Proper Slice,,6756
6757,The Puddingstone Tavern,,6757
6758,The Real Deal(1936 Beacon St.),D'ANTISTA DIANE & SALVATORE,6758
6759,THE RED FEZ,GEORGES MARKET LLC,6759
6760,The Red-Eyed Pig,VELONIAS PLATON G,6760
6761,The Rotisserie,SIX-51-663 WARREN ST LLC,6761
6762,The Roving Lunchbox,,6762
6763,The Savant Project,FICKEN FREDERICK A,6763
6764,The Specialty Bean,HOSKIN,6764
6765,The Sports Club/LA - Boston,NEW COMMONWEALTH COMMERCIAL,6765
6766,THE SPORTS CLUB/LA-BOSTON,NEW COMMONWEALTH COMMERCIAL,6766
6767,The Spotted Apron,GENBRIDGE LLC,6767
6768,THE STATION GROCERY,CARLOS SANTAMARIA,6768
6769,THE SUB STOP INC.,THE SUB STOP INC.,6769
6770,The Taco Truck,,6770
6771,THE TAP,DE NORMANDIE PHILIP Y,6771
6772,The Times Irish Pub & Restaurant,PABIAN JAY M TS,6772
6773,THE UNIVERSITY OF MASSACHUSETTS CLUB,SODEXHO OPERATIONS LLC LICENSING,6773
6774,The Urban Art Bar,,6774
6775,THE VAULT,BARRY HANNON  PRES.,6775
6776,The Video Underground Inc.,,6776
6777,THE WAPO TACO,,6777
6778,The Whiskey Priest,,6778
6779,The Wholy Grain,SHAMATTA ELIAS J TRST,6779
6780,THE WILBUR THEATRE,WILBUR THEATRE VENDORS IN C.,6780
6781,The Wine Cave,FIFTY 3-85 CANAL STREET LLC,6781
6782,The Wine Emporium,GOLDEN MARVIN P,6782
6783,THEO'S,MONDHER TABOUBI,6783
6784,THEO'S MOBILE CREOLE CUISINE,,6784
6785,Theo's Sandwich Shop,,6785
6786,Third Cliff Bakery (Pop-up),,6786
6787,Thirst,,6787
6788,Thompole Convenience Store,CHRISTAKIS GEORGE TS,6788
6789,Thompson Market,HERNANDEZ MARCOS D,6789
6790,Thomson Reuters,TF BOSTON FUNDING COMPANY IN,6790
6791,Thomson Reuters (Starbucks),TF BOSTON FUNDING COMPANY IN,6791
6792,THORTON'S FENWAY GRILL,THORTON MARTIN,6792
6793,THREE CHEERS,FIORENZA ALBERT G,6793
6794,Three Clover,,6794
6795,THREE CLOVER RESTAURANT,,6795
6796,THREE CORNERS TOBACCO,KILDER A. CARDONA,6796
6797,Three Scoops,CONSTANTINE STEVEN N.,6797
6798,TIA'S AT LONG WHARF,LORI LILLY,6798
6799,Tia's Cakes & Pastries (Pop-up),,6799
6800,Tia's Cakes And Pastries,  ,6800
6801,Tiburon,MORALES DOMINGO,6801
6802,TICKERS @ THOMSON FINANCIAL,,6802
6803,TIGER LILY RESTAURANT,TIGER LILY RESTAURANT,6803
6804,Tiger Market,DEARBORN RICHARD F TS,6804
6805,Tignda and Taqueria Guadalajara,  ,6805
6806,Tilted Kilt Pub & Eatery,,6806
6807,Timothy's,  ,6807
6808,Tiny Diner,,6808
6809,Tipico Dominicano,TARANTINO TEODORO,6809
6810,Tipico Restaurant,,6810
6811,TJ Maxx No. 1183,,6811
6812,TJ Maxx No. 1447,,6812
6813,TJ's Food Shop,,6813
6814,Tobacco Y Miscellaneous La Tia,PREVITE ELEANOR,6814
6815,Todisco's Mobil,TODISCO THOMAS,6815
6816,TOM ENGLISH CAFE,BRISBOIS INC.,6816
6817,Tom Yum Cafe,,6817
6818,Tomadachi Sushi,UNITED COMPANY THE,6818
6819,Tommy's Pizzeria,ROBYN MURPHY  PRES.,6819
6820,Tom's Sandwich Shop,CAPRIO FRANCES T,6820
6821,Toni Ann's,TWO 83 MAIN ST CONDO TR,6821
6822,Tonic Restaurant,FRASER WILLIAM C TS,6822
6823,Tony's Pizzeria,,6823
6824,TONYS RESTAURANT,DE PASQUALE RONALD,6824
6825,Toos Market,,6825
6826,Top Griyo Restaurant,OVERTON CHERYL TS,6826
6827,TOP OF THE LINE RESTAURANT,MELVIN LEE HARDY,6827
6828,Top Secret Sandwiches,  ,6828
6829,Top Shelf Cookies (Pop-up),,6829
6830,Top Taste Kitchen,KATSIKARIS GEORGE P,6830
6831,Top Taste Restaurant,,6831
6832,TORCH,DELUTY EVAN,6832
6833,Toro Sushi & Grille,COMMONWEALTH 1227-1245 LPS,6833
6834,Tossed,,6834
6835,Town Line Liquors & More,HANNINGTON LP,6835
6836,TOWNE LYNE CAFE,OMALLEY PETER J TS,6836
6837,Townsend Restaurant,FAIRMOUNT TERRACE LLC,6837
6838,Townsman,,6838
6839,TRAINOR'S CAFE INC.,DELLO RUSSO CARL,6839
6840,Tratoria Andiamo,,6840
6841,Trattoria Andiamo,,6841
6842,Trattoria Di Monica,,6842
6843,TRATTORIA OTTIMO,SUMMER HIGH REALTY VENTURES,6843
6844,TRATTORIA TOSCANA,KWONG CHEUK LEUNG,6844
6845,TRAVEL TRADERS No.  3024,,6845
6846,Tremont Cafe,,6846
6847,Tremont Drug,PHIL C BRADLEY HOUSING,6847
6848,Tremont Market,,6848
6849,Tremont Variety,COVE PLAZA ASSOCIATES LP,6849
6850,Trincity Cuisine,  ,6850
6851,Trinity,,6851
6852,TRINKETS & TREASURES,ANTHONY SCARPINO DIR.,6852
6853,Triple Eatery Restaurant,DINANNO NEVIO C ETAL,6853
6854,Triple Seven,VISCIONE FRANK,6854
6855,Tropical Foods/El Platanero,M & C CARIBBEAN ENTERPRISES,6855
6856,Tropical Grocery,COLON PABLO,6856
6857,TROQUET,VENTOURIS EMILIOS TS,6857
6858,Truffles-Fine Confections,,6858
6859,Truly Jorg's Patisserie,BOSTON UNIVERSITY TRUSTEES,6859
6860,Truong Thanh,LAU MEE HA WONG,6860
6861,T-STOP MARKET  INC.,JOSE ROSA  PRES.,6861
6862,Tufts Medical Center/Aramark Gift Shop,,6862
6863,Tufts Medical Center/Aramark/Pizza Hut,,6863
6864,Twig,  ,6864
6865,Two Brother's Market,DO DIEP,6865
6866,Two Peck Crispy Chicken,PETER LUU  PRES.,6866
6867,U & I BARGAIN UNLIMITED,,6867
6868,U Food Grill,,6868
6869,U Mass Harbor Campus Bookstore,FOLLETT COLLEGE STORES,6869
6870,U S Airways Club,,6870
6871,U S Airways Club Boston,,6871
6872,Uchef,KIM BENJAMIN W,6872
6873,Ueno  Sushi Corporation,WALLS VINCENT TS,6873
6874,Ueno Fusion I I,  ,6874
6875,UFood Grill,,6875
6876,Ula Cafe,OMAR ARGOTE/AHMAD KHERRI DENE,6876
6877,UMAI,,6877
6878,UMBRIA RISTORANTE,,6878
6879,UMI JAPANESE RESTAURANT,,6879
6880,Uncommon Feasts,HOSKIN,6880
6881,Undine Cafe @ Caturano Co.,,6881
6882,Unidine,CHILD FOCUS CENTER/BUNKER,6882
6883,Union Market,AL-ABED BELAL TS,6883
6884,Unique Flava,BEVERLY SHAW,6884
6885,Unique Food,,6885
6886,Unique Grill & Take Out,TWELVE-93-1295 MASSACHUSETTS,6886
6887,Unique Grill Take Out,TWELVE-93-1295 MASSACHUSETTS,6887
6888,Unique Sushi  Inc.,PIER FIVE SERVICES  INC.,6888
6889,United Club,DELTA AIRLINES  ATTN: BAR BARA GOSLIN,6889
6890,UNO'S CREATIVE HOST SERVICES,NORTHWEST AIRLINES/TAX DE PT. A4450,6890
6891,Up Beat Convenience,YOUNG FRANKLIN,6891
6892,UPHAMS CORNER CHARTER SCHOOL,SUSAN FORTIN  DIRECTOR OF OPERATIONS,6892
6893,Uphams Corner Market,OPHIR SHALOM B,6893
6894,UPTOWN CAFE,  ,6894
6895,UPTOWN ESPRESSO,FAYE FOROUGHI  PRES.,6895
6896,Urban Cantina,,6896
6897,Urban Express Chelet,CITY OF BOSTON,6897
6898,Urban Lodge,CITY OF BOSTON,6898
6899,US GAS,ZAHREDDINE,6899
6900,Uyghur Kitchen,,6900
6901,VALUE INC.,GABRIEL AURAM VALUE INC.,6901
6902,VALUE LIQUORS INC,AZIZIAN CHRISTOPHER,6902
6903,Vanderbilt,,6903
6904,Vange Variety Store,RYAN ALBERTHA,6904
6905,VANILLE-BAKERY & PASTRY,SHARRATT JOHN A,6905
6906,Van's Restaurant & Bar,NASH,6906
6907,Vapiano,STEAK AND ALE OF MASSAC HUSETTS INC.,6907
6908,Variedades Amy,GARCIA JOSUE,6908
6909,Vasquez Grocery Store,,6909
6910,Velouria Espresso,HYDE SQUARE REALTY CO LLC,6910
6911,VENETIAN GARDEN,OLGA RODRIGUEZ,6911
6912,VENICE PIZZA,LEKAKOS,6912
6913,VENICE RISTORANTE,RAMIN DOORANDISH  PRESIDE NT,6913
6914,VERC READVILLE MOBILE,MOBIL OIL CORP N Y CORP,6914
6915,VERTIGO,BORRIELLO FRANK,6915
6916,Very Berry Frozen Yogurt,  ,6916
6917,Vianne Chocolat,HOSKIN,6917
6918,VICTORIA DINER,JIHAD HAJJ  PRES.,6918
6919,Victoria's Diner,HAJJ REALTY COMPANY LLC,6919
6920,Victoria's Market,ROSAS CARLOS RICHARD,6920
6921,VIEN DONG FAR EAST SUPERMARKET,DUONG,6921
6922,Viet Huong Market,LE ANN,6922
6923,Viga-The Deck @ Digitas Co.,ARCH ST TOWER LLC,6923
6924,Vikos Pizza & Ribs,,6924
6925,Villa Fresh Italian Kitchen,,6925
6926,Villa Sombrero Cafe,FILIPE MANUEL,6926
6927,Villa Sombrero Grocery Store,,6927
6928,Villa Specialties,,6928
6929,VILLAGE SUSHI & GRILLE,,6929
6930,Vinea,,6930
6931,Vinepolis Express,CITY OF BOSTON,6931
6932,VINH SUN BBQ RESTAURANT,,6932
6933,VINNY T'S OF BOSTON,,6933
6934,VINTAGE,KURT STENHOUSE  PRES.,6934
6935,Visham & Son,SMULLYAN CLINTON I JR TRUSTE,6935
6936,VITAMIN SHOPPE,VITAMIN SHOPPE INDUSTRIE S,6936
6937,VITO'S COURTYARD CAFE,,6937
6938,VIVIAN MINI MART,SCHIMMEL LEYLA,6938
6939,Vivian's Cafe,MARTIN KEITH,6939
6940,Vlora,HERITAGE COMMONWEALTH CORP,6940
6941,V-MAJESTIC RESTAURANT,DERRICK HOANG VU,6941
6942,VOLUNTEERS OF AMERICA-MCCROHON,VOLUNTEERS OF AMERICA INC,6942
6943,VOUROS RESTAURANT,MCCOY RICHARD,6943
6944,VOX POPULI,SEVEN 55 BOYLSTON LLC,6944
6945,W.G.B.H.,,6945
6946,Wabora Prime,,6946
6947,Walaikum's Burger,,6947
6948,Walgreens No.  10996,  ,6948
6949,Walgreen's No. 1849,,6949
6950,Walloon's,,6950
6951,Walsh Liquors,,6951
6952,Wan Convenience,,6952
6953,WARREN LIQUOR,SALOVITZ SHERMAN,6953
6954,WAVES CAR WASH,ADAM KORNGOLD,6954
6955,WBZ Cafe,,6955
6956,WEGGIE'S PUB,WONG REGINALD,6956
6957,Wellington Management Kiosk (16th Fl.),,6957
6958,Wellness World,GLENN BONNIE J,6958
6959,Wells Liquor Mart,JERRIER RICHARD M,6959
6960,WENDYS,,6960
6961,WENDY'S OLD FASHIONED HAMBURE,SUMMER HIGH REALTY,6961
6962,Wentworth Institute Bookstore,Wentworth Institute,6962
6963,WENTWORTH LEOPARDS DEN,COMPASS GROUP ATTN: JOE A,6963
6964,WEST 7TH MINI MARKET,WEST 7TH MINI MARKET HOA BI,6964
6965,West End Boys & Girls Club,,6965
6966,West End Pizza,FABBO MAURIZIO A,6966
6967,West Garden,  ,6967
6968,WEST GARDEN CHINESE,MALLIOS ANASTASIOS,6968
6969,WEST ROXBURY BAR,QUEALLY DENNIS,6969
6970,West Roxbury Pharmacy,HOMSI TANIOS TS,6970
6971,WEST SIDE KITCHEN,SHUM DAVID,6971
6972,WEST STREET GRILLE,,6972
6973,WESTIN COPLEY PLACE 1ST FL,WESTIN HOTEL VENTURE,6973
6974,WFNX Downtown Crossing Socials,,6974
6975,Wheelers Black Lebel Vegan Ice Cream,,6975
6976,Whipped Urban Cupcake Co.,,6976
6977,WHISKEY PARK,,6977
6978,WHITE HEN PANTRY,,6978
6979,Whitten Market,HUYNH LAM M,6979
6980,Whittier Health Pharmacy Inc.,,6980
6981,Whoopie Monster,HOSKIN,6981
6982,WICH ! T,KANEGIS SIDNEY S,6982
6983,Wicked Good Cupcakes,,6983
6984,Wild Cherry,,6984
6985,WILD GREENS,ONE HUNDRED FEDERAL ST LPS,6985
6986,WILD ORCHARD,,6986
6987,Wildfire Wings,J P L DEVELOPMENT LPS,6987
6988,Will On The Green No.  2,CITY OF BOSTON,6988
6989,William's Tavern,COSTELLO,6989
6990,Williams-Sonoma No.  19,CRABTREE & EVELYN LTD.,6990
6991,Wills On The Green,HAGOS BELAYNESH,6991
6992,Windmill Food Factory,,6992
6993,Wine Basket & Spirit,,6993
6994,WINE CAVE,RICHARDSON PAUL M,6994
6995,Wine Cellar,BEVERAGES OF BEACON HILL INC.,6995
6996,WINE CELLAR RESTAURANT,MURPHY DAVID W,6996
6997,Wine Gallery,,6997
6998,Wine Riot South End,,6998
6999,WING EXPRESS,KHOURY DAVID,6999
7000,Wing It,,7000
7001,Wing Maru,KARIM FAZAL,7001
7002,Wings Express,,7002
7003,Wing's Kitchen,JAYNE ALLAN WONG,7003
7004,Winners Place,SMULLYAN CLINTON I JR TRUSTE,7004
7005,Winter Street Enterprises,WINTER EIGHT ASSOCIATES,7005
7006,Wired Puppy,DAMORE JOSEPHINE TRST,7006
7007,Wise Guys,JAIME GONZALEZ/MILTON ME NDEZ,7007
7008,WISTERIA HOUSE,LAWLESS JAMES C TS,7008
7009,Wisteria-Richness of Taiwan,BRIGHTON AV ASSOCIATES LLC,7009
7010,Witch!t,KANEGIS SIDNEY S,7010
7011,WOK & ROLL,NORTHWEST AIRLINES/TAX DE PT. A4450,7011
7012,WOLFIE'S KITCHEN & BAR,WILLIAM D CAMPBELL INC,7012
7013,WONGS,MCCOY RICHARD,7013
7014,Woodrow Ave Market,,7014
7015,Woody's Liquors,GASSIRARO TERESA,7015
7016,Woodys Pizza,GASSIRARO TERESA,7016
7017,Woody's Pizza Inc,GASSIRARO TERESA,7017
7018,Work Out World,JOANN STORES  INC.,7018
7019,World Duty Free Americas,NORTHWEST AIRLINES/TAX DE PT. A4450,7019
7020,WORLD GYM,BULGROUP COLORADO LLC,7020
7021,WORLD'S BEST FOOD MARKET,JOSSAINTE LEON TS,7021
7022,WOW BBQ I,,7022
7023,WOW BBQ II,,7023
7024,Wrap Mi,LAU WAI KUENG TS,7024
7025,Wright Caribbean Market Plus,TWO HUNDRED WASHINGTON,7025
7026,XINH XINH RESTAURANT,CHINAGATE HOUSING ASSOCS LPS,7026
7027,XO Bar and Restaruant,,7027
7028,Xuan Dong Fast Foods And Sandwiches,HA T. MA,7028
7029,Yachris Market,TEJEDA OSCAR R.,7029
7030,YADA YADA BAKERY CAFE,CFS SEAPORT LLC,7030
7031,YANET RESTAURANT,,7031
7032,YAN'S BEST PLACE RESTAURANT,YI RAMON ETAL,7032
7033,YAN'S CHINA STAR,LEE MING,7033
7034,YASSIN GULF,AUDI BROS.  INC.,7034
7035,YELY'S COFFEE SHOP MOBILE,,7035
7036,YES BRAZIL,BELAMARICH,7036
7037,YMCA OF GREATER BOSTON,GREATER BOSTON Y.M.C.A.,7037
7038,Yo Berry,MCGARRELL ROBERT J JR,7038
7039,Yo! Berry Inc.,BRIGHTON AV ASSOCIATES LLC,7039
7040,Yo! Sushi,,7040
7041,Yogurtland,PROVIDENCE DEVELOPMENT GROUP,7041
7042,YONG HON RESTAURANT,DUN QIN ZHENG,7042
7043,YONG KONG,,7043
7044,Your Smoothies & Ice Cream Shop,,7044
7045,Yoyo City,  ,7045
7046,YSK Newsstand,TGC 50 MILK STREET LLC,7046
7047,Yucatan Mexican Grill,MARGULIES JEFFREY,7047
7048,YUM YUM NOODLE,,7048
7049,YUM YUM RESTAURANT,,7049
7050,Yumm Bai Corp,,7050
7051,Yummy Express,  ,7051
7052,Yumy's,COMMONWEALTH 1227-1245 LPS,7052
7053,Z Square in the Park,FLIK INTERNATIONAL CORP.,7053
7054,Z Square Kenmore,BOSTON UNIVERSITY TRUSTEE OF,7054
7055,Z&R Convenience Plus,STAMATOS GEORGE C TS,7055
7056,ZAFFERANO,,7056
7057,Zai,HAMELBURY,7057
7058,Zap Media Cafe,NEW ENGLAND COLLEGE,7058
7059,Zaps,RESNICK MARC TS,7059
7060,ZEN ATHLETICA (RETAIL),ADVANCED FRESH CONCEPTS C,7060
7061,Zen Restaurant,,7061
7062,Zest Mediterranean Grill,GETTLEMAN DAVID,7062
7063,ZESTO'S PIZZA & GRILL,FLORES LUIS A,7063
7064,Zinga,  ,7064
7065,ZISIS CONVENIENCE STORE,CHETEM J. & NATAVR K. PAT EL,7065
7066,Zocalo Cocina Mexicana,GORDON ANTHONY O,7066
7067,ZON'S,FRANTZIS STAVROS S,7067
7068,Zoup!,CENTER PLAZA ASSOC MASS LPS,7068
7069,Zuki Foods LLC,  ,7069
7070,"10 HIGH STREET RESTAURANT, LLC",SERAFINA,7070
7071,"107 SALEM RESTAURANT, INC.",BACCO,7071
7072,"111 SALEM GROUP, INC.",BENEVENTO'S,7072
7073,"111, LLC",BROWNSTONE,7073
7074,"119 Salem Street, Inc.",Ristorante Euno,7074
7075,"132 BROOKLINE AVENUE, LLC",SAL'S PIZZA,7075
7076,"142 Berkeley, LLC",Harry's Food & Drink,7076
7077,15 BEACON STREET LLC,XV BEACON HOTEL,7077
7078,"154 Maverick, LLC",Maverick Marketplace,7078
7079,"1625 EXCHANGE, INC.",THE GINGER EXCHANGE,7079
7080,"170, LLC",THE GRANARY TAVERN,7080
7081,1704 WASHINGTON LLC,TORO,7081
7082,"1732 CENTRE STREET,INC.",WEST,7082
7083,"1844, INC.",COMELLA'S,7083
7084,2000 CHEF FOOD CORP.,FINS SUSHI & GRILL,7084
7085,21 MERCHANTS ROW CORPORATION,CLARKE'S,7085
7086,"21ST, INC.",21ST. AMENDMENT,7086
7087,"222 BERKELEY RESTAURANT, LLC",TICO,7087
7088,"2261 Dot, LLC",ESTER,7088
7089,25 CHARLES ON THE HILL LLC,NULL,7089
7090,"253 FOOD AND SPIRIT, LLC",ABBY LANE,7090
7091,"286  CAMBRIDGE STREET, INC.",ANTONIO'S,7091
7092,30 FLEET STREET CORPORATION,LA SUMMA,7092
7093,"30 TRAVELER, LLC",BAR MEZZANA,7093
7094,"325, LLC",NULL,7094
7095,348 CONGRESS LLC,DRINK/SPORTELLO/MENTON,7095
7096,"378 CENTRE STREET, INC.",THE BRENDAN BEHAN PUB,7096
7097,3W&Z CORP.,TAIWAN CAF,7097
7098,"425 BROADWAY, LLC",NULL,7098
7099,"443 BROADWAY, LLC",CAPO,7099
7100,"45 PROVINCE RESTAURANT, LLC",MAST' RESTAURANT & DRINKERY,7100
7101,"49 MELCHER RESTAURANT GROUP, LLC",BASTILE KITCHEN/CHALET,7101
7102,"5 NORTH SQUARE, INC.",GENNAROS,7102
7103,"505 CONGRESS STREET, LLC",LA CASA DE PEDRO TAPAS & CEVICHE,7103
7104,550 TREMONT LLC,B&G OYSTERS LTD,7104
7105,552 TREMONT LLC,THE BUTCHER SHOP,7105
7106,"569 TREMONT, INC.",AQUITAINE,7106
7107,"584 TREMONT, INC.",Metropolis Cafe,7107
7108,"667 EAST BROADWAY, INC.",THE PARAMOUNT,7108
7109,"669 CENTRE, LLC",CENTRE STREET CAF,7109
7110,711 CENTRE LLC,CASA VERDE,7110
7111,"724 HUNTINGTON AVENUE, INC.",MISSION BAR & GRILLE,7111
7112,"74 LTD, INC.",SNAPPY SUSHI,7112
7113,"75 ARLINGTON STREET, INC.",DAVIO'S RESTAURANT,7113
7114,"81 L ST., LLC",6TH GEAR,7114
7115,"88 BEACH, LLC",HEI LA MOON,7115
7116,955 LLC,DILLON'S,7116
7117,"99 RESTAURANTS OF BOSTON, LLC",99 RESTAURANT & PUB,7117
7118,A & C NEWBURY STREET,TRATTORIA NEWBURY,7118
7119,"A.T.G., INC.",CLERYS,7119
7120,ABC Wine Bar,Vino Volo,7120
7121,"AC NEP, LLC",DORSET HALL,7121
7122,"ACAPULCO MEXICAN RESTAURANT, INC.",ACAPULCO MEXICAN RESTAURANT,7122
7123,"ADARE, INC.",NED DEVINE'S,7123
7124,ADDIS RED SEA ETHIOPIAN CORP.,ADDIS RED SEA,7124
7125,AHAWK INC.,PAOLO'S TRATTORIA,7125
7126,"AIMBRIDGE HOSPITALITY, LLC",EMBASSY SUITES HOTEL,7126
7127,AIR VENTURES LLC,VINEYARD GRILLE,7127
7128,"AJISAI, INCORPORATED",UMAI,7128
7129,"AL DENTE, INC.",TRATTORIA AL DENTE,7129
7130,ALASTY CORP.,NAPPER TANDYS,7130
7131,ALGONQUIN CLUB OF BOSTON,NULL,7131
7132,"ALLSTON RESTAURANT GROUP, LLC",NULL,7132
7133,ALLSTON VENTURE FIVE INC.,THE SURF,7133
7134,"ALOFT LOUNGE, LLC",ALOFT LOUNGE,7134
7135,"ALTAMIRA BANQUETS, LLC",MI PUEBLITO ORIENT HEIGHTS,7135
7136,"AL-WADI RESTAURANT, LLC",NULL,7136
7137,"AMARU'S VILLA, INC.",SONNY'S ADAMS VILLAGE,7137
7138,"AMERICAN AIRLINES, INC.",ADMIRALS CLUB,7138
7139,"AMERICAN AIRLINES, INC.",US AIRWAYS CLUB,7139
7140,"AMERICAN MULTI-CINEMA, INC.",AMC LOEWS BOSTON 19,7140
7141,"AMICI, INC.",NULL,7141
7142,"AMPHITRYON RESTAURANT GROUP, LLC",NULL,7142
7143,AMRHEIN'S INCORPORATED,AMRHEIN'S,7143
7144,ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,ANCHOVIES,7144
7145,"ANFRATTA, LLC",WARD EIGHT,7145
7146,"ANGELA'S CAFE GROUP, INC.",ANGELA'S CAF,7146
7147,"ANGELA'S CAFE II, INC.",ANGELA'S CAFE II,7147
7148,"ANGLO HOSPITALITY, INC.",THE HAVEN,7148
7149,"ANH HONG RESTAURANT, LLC",ANH HONG RESTAURANT,7149
7150,ANTHONY OLIVIERO & LUIGI SODANO,II NIDO,7150
7151,"ANTHONY'S PIER FOUR, INC.",ANTHONY'S,7151
7152,"Anthony's Restaurant Group, LLC",Antonio's Bacaro,7152
7153,"ANTICO FORNO, INC.",ANTICO FORNO,7153
7154,AOB CORP.,L STREET DINER & PIZZERIA,7154
7155,APPLE NEW ENGLAND LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,7155
7156,APPLE NEW ENGLAND LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,7156
7157,"AQUA PAZZA, INC.",SFIZI,7157
7158,ARANGO CORPORATION,MEDALLO,7158
7159,"ARCUS GROUP, INC.",PETIT ROBERT CENTRAL,7159
7160,"AREA FOUR CENTRAL OPERATING, LLC",A4,7160
7161,"AREAS USA BOS, LLC",VINEA,7161
7162,ARGUETAS CORPORATION,BOHEMIOS RESTAURANT,7162
7163,"ARIA TRATTORIA, LLC",ARIA TRATTORIA,7163
7164,ARIANA RESTAURANT INCORPORATED,Ariana Restaurant,7164
7165,ARK BOSTON RSS CORP.,DURGIN PARK,7165
7166,"ASHMONT GRILL, LLC",ASHMONT GRILL,7166
7167,"ASIAN CUISINE, INC.",TYPHOON-RESTAURANT,7167
7168,"ASIAN GARDEN, INC.",ASIAN GARDEN,7168
7169,"ASILLEM, LLC",STONE HEARTH PIZZA CO.,7169
7170,ASSOCIATES AND LEISURE ACTIVITIES LLC,LIVE AT THE WILBUR,7170
7171,"ATLANTIC 101, INC.",THE LIVING ROOM,7171
7172,"ATLANTIC BEER GARDEN, INC.",ATLANTIC BEER GARDEN,7172
7173,ATLANTIC SHORE RESTAURANT CORPORATION,NULL,7173
7174,"AUDITORIUM CAFE, INC.",THE POUR HOUSE,7174
7175,"August Summer Group, LLC",Totto Ramen,7175
7176,"B&T, LLC",PICCO,7176
7177,"B. STONE, INC.",THE BLARNEY STONE,7177
