LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
182,7251,1.) CONSUMPTION OF ALCOHOL ALLOWED IN SEATING AREA DURING LIVE PERFORMANCES ONLY. 2.) NO MORE THAN 2 DRINKS SERVED TO AN INDIVIDUAL AT ONE TIME. 3.) LICENSEE MUST INSPECT IDENTIFICATION TO ENSURE PATRONS CONSUMING ALCOHOL ARE 21 YEARS OF AGE.,11:30 PM,MIDNIGHT,2763
183,7252,NONE,2:00 AM,2:30 AM,41
184,7253,,2:00 AM,2:30 AM,160
185,7254,One room on first floor consisting of one entrance and three exits all located at 12R Ericsson Street  with Port Norfolk and Lawley Streets as crossroads. All alcohol storage is located behind the tasting area and/or displayed in the mercantile area. Monday - Wednesday Noon - 10:00 PM  Thursday - Saturday  Noon - 1:00 AM; Sunday Noon - 6:00 PM. CONDITIONS: 8 PM CLOSING HOUR FOR TOURS  TASTINGS. 11 PM CLOSING HOUR FOR PRIVATE EVENTS.,1:00 AM,1:30 AM,0
186,7255,No Transfer of ownership  Ch 1161  Acts of l973  License originally issued 1985,1:00 AM,1:30 AM,99
187,7256,NONE,2:00 AM,2:30 AM,130
188,7257,CAPACITY BREAKDOWN:13 PERSONS -INTERIOR ONLY BAR STOOLS; 16 PERSONS- LOUNGE SEATS; 49 PERSONS - PLATFORM SEATS; 24 PERSONS - PRIVATE A SEATS; 16 PERSONS - PRIVATE B SEATS; 102 PERSONS - MAIN DINING SEATS; 72 PERSONS-EXTERIOR PATIO SEATS.,2:00 AM,2:30 AM,292
189,7258,NONE,2:00 AM,2:30 AM,231
190,7259,Seasonal patio to be closed by 9:00 PM.,2:00 AM,2:30 AM,180
191,7260,Alcoholic beverages to be servedonly in conjunction with food.,1:00 AM,1:30 AM,84
192,7261,Higginson rm. A. 831 cap.  room. B. 190 cap.  room C 131 cap. Goldberg room A-153 cap. room B-Kobb 97 cap.  Misc. Hall 2 632 cap.  Cabot -Cashmere room 583 cap.  Misc. Hall Chorus room  70 cap.  Hatch room 563 cap.Total of 5 250 capacity.,1:00 AM,1:30 AM,4500
193,7262,NONE,2:00 AM,2:30 AM,0
194,7263,499 PERSONS TOTAL; UPPER LEVEL BARGE B 203-106 PERSONS; B 203 OUTSIDE DECK-20 PERSONS; B 202 SERVERY-30 PERSONS; LOWER LEVEL BARGE B 120 EXTERIOR-34 PERSONS; B 102 EXTERIOR SPACE-34 PERSONS; B 124 THEATER-68 PERSONS; EXTERIOR DECK AND BOATS-207 PERSONS; PIER ASSEMBLY ROOM #1-70 PERSONS; PIER ASSEMBLY ROOM #2-70 PERSONS; HISTORIC FLOATING MARITIME EXHIBITS,2:00 AM,2:30 AM,499
195,7264,THE BOARD GRANTED PERMISSION TO OPEN AND SERVE ALCOHOLIC BEVERAGES ON SUNDAYS AT 10:00 A.M. AS PART OF THEIR REGULAR BRUNCH SERVICE.,1:00 AM,1:30 AM,181
196,7265,NONE,2:00 AM,2:30 AM,0
197,7266,Restricted license.,11:00 p.m.,11:30 p.m.,24
198,7267,,2:00 AM,2:30 AM,249
